rank,id,sampler,model,precision,fpr,roc_auc,recall,score
1,exp_005,ctgan,lightgbm,0.24620770128354727,0.06365786361844698,0.833735330117359,0.326625386996904,0.34056817235551706
2,exp_002,smote,lightgbm,0.2490272373540856,0.057055577453685453,0.8380516345699743,0.29721362229102166,0.33192982098430357
3,exp_006,ctgan,xgboost,0.23375,0.06040599132834056,0.8356802298123988,0.2894736842105263,0.32559321332209007
4,exp_004,ctgan,gbm,0.24427480916030533,0.048778084351596376,0.8285844730191312,0.2476780185758514,0.3135229072003625
5,exp_003,smote,xgboost,0.2806652806652807,0.034095388253843124,0.8303284760162597,0.2089783281733746,0.3088987797699789
6,exp_001,smote,gbm,0.2182410423452769,0.047299960583366184,0.8121577739242493,0.20743034055727555,0.29273460899819015
